bin,case,status_group,zip,in_outbreak_zip,community_board,nta,lat,lon,n_towers,n_active_towers,reg_age_days,n_samples,never_sampled,days_since_last_sample,n_samples_12mo,n_samples_24mo,median_gap_days,max_gap_days,overdue_90d,n_inspections,n_violations,n_citations,ever_violation,n_violation_types,days_since_last_inspection
1058396,0,,10026,0,,MN11,40.804644,-73.95241,1,1,3956,0,1,,0,0,,,1,47,45,28,1,3,1182
1088595,0,,10075,1,108,MN31,40.774128,-73.956963,1,1,3955,0,1,,0,0,,,1,15,8,4,1,3,959
1014387,0,,10119,0,,MN17,40.751263,-73.992374,2,3,3957,6,0,21,6,6,84,90,0,107,86,57,1,3,269
1015750,0,,10001,0,,MN17,40.746717,-73.989617,1,1,3955,0,1,,0,0,,,1,26,23,15,1,3,482
1015275,0,,10018,0,105,MN17,40.753709,-73.987068,3,3,3955,0,1,,0,0,,,1,48,31,23,1,3,525
1017795,0,,10003,0,,MN21,40.734671,-73.987963,1,1,3955,1,0,318,1,1,,,1,34,31,22,1,3,449
1013043,0,,10011,0,104,MN13,40.740697,-74.001844,8,12,3972,17,0,7,17,17,21.0,49,0,131,63,38,1,3,750
1043845,0,,10065,0,,MN31,40.76309,-73.963053,2,2,3955,4,0,28,4,4,21,255,0,73,58,41,1,3,541
1015027,0,,10001,0,,MN13,40.745417,-73.993464,1,1,3955,0,1,,0,0,,,1,30,24,15,1,2,230
1085945,0,,10002,0,,MN28,40.710339,-73.990351,1,1,3955,0,1,,0,0,,,1,15,9,6,1,3,1249
1035078,0,,10019,0,,MN17,40.764521,-73.976167,1,1,3955,0,1,,0,0,,,1,40,34,23,1,3,1480
1082871,0,,10009,0,,MN50,40.733303,-73.980719,1,1,3954,1,0,322,1,1,,,1,22,20,15,1,3,553
1026317,0,,10019,0,104,MN15,40.767342,-73.98435,1,1,3954,0,1,,0,0,,,1,75,73,51,1,3,1449
1024832,0,,10019,0,,MN17,40.764333,-73.984167,1,1,3954,0,1,,0,0,,,1,41,34,25,1,3,482
1018123,0,,10010,0,,MN21,40.742114,-73.984338,1,1,3954,0,1,,0,0,,,1,49,46,30,1,3,798
1089085,0,,10035,0,111,MN34,40.797563,-73.933103,1,1,3954,1,0,283,1,1,,,1,25,18,13,1,3,541
1027465,0,,10023,0,,MN14,40.771351,-73.982681,1,1,3954,0,1,,0,0,,,1,29,24,16,1,3,1245
1026728,0,,10019,0,104,MN15,40.765174,-73.989116,1,1,3954,0,1,,0,0,,,1,13,4,4,1,2,374
1012541,0,,10011,0,104,MN13,40.741869,-74.004713,11,12,3482,15,0,3,15,15,12.5,65,0,362,248,175,1,3,241
1080092,0,,10003,0,,MN23,40.729852,-73.992749,2,2,3950,0,1,,0,0,,,1,29,15,7,1,3,993
1021924,0,,10016,0,,MN20,40.746907,-73.972532,1,1,3950,0,1,,0,0,,,1,0,0,0,0,0,
1038472,0,,10022,0,,MN19,40.755856,-73.96832,1,1,3950,0,1,,0,0,,,1,28,21,15,1,3,204
