bin,case,status_group,zip,in_outbreak_zip,community_board,nta,lat,lon,n_towers,n_active_towers,reg_age_days,n_samples,never_sampled,days_since_last_sample,n_samples_12mo,n_samples_24mo,median_gap_days,max_gap_days,overdue_90d,n_inspections,n_violations,n_citations,ever_violation,n_violation_types,days_since_last_inspection,bbl,yearbuilt,numfloors,unitsres,unitstotal,bldgarea,assesstot,landuse,bldg_age_yrs,log_assess,reg_age_yrs,days_since_last_inspection_imp
1050368,0,,10075.0,1,,MN32,40.772442,-73.950224,1,1,3950,2,0,14.0,2,2,31.0,31.0,0,30,25,19,1,3,679.0,1015600021,1966.0,20.0,148.0,150.0,223798.0,14676750.0,4,60.0,7.16662989663385,10.8145106091718,679.0
1048762,1,A_doh0710_complete,10028.0,1,,MN32,40.778155,-73.953996,1,1,3944,0,1,,0,0,,,1,39,33,25,1,3,553.0,1015310001,1905.0,4.0,0.0,2.0,39004.0,11730150.0,5,121.0,7.069303565717896,10.798083504449007,553.0
1046689,0,,10028.0,1,108.0,MN40,40.777907,-73.960976,1,1,3961,2,0,27.0,2,2,298.0,298.0,0,8,1,1,1,1,503.0,1014937501,1981.0,15.0,29.0,30.0,38550.0,8527502.0,4,45.0,6.930821829936821,10.844626967830253,503.0
1088727,0,,10028.0,1,108.0,MN40,40.780683,-73.956814,1,1,3963,3,0,3.0,3,3,33.5,36.0,0,36,30,22,1,3,951.0,1015157504,2008.0,12.0,6.0,6.0,15494.0,6253202.0,2,18.0,6.796102458117479,10.850102669404517,951.0
1090174,0,,10128.0,1,108.0,MN32,40.782503,-73.95088,1,1,3780,6,0,22.0,6,6,84.0,87.0,0,27,20,16,1,3,132.0,1015387501,2014.0,38.0,231.0,234.0,376934.0,57263015.0,4,12.0,7.757874210667614,10.349075975359343,132.0
1045174,0,,10075.0,1,108.0,MN31,40.77065,-73.953929,1,1,3957,3,0,21.0,3,3,139.5,255.0,0,45,36,23,1,3,506.0,1014510023,1963.0,20.0,215.0,218.0,217143.0,28848150.0,3,63.0,7.4601179675592375,10.833675564681725,506.0
1073031,0,,10128.0,1,108.0,MN40,40.784614,-73.957855,1,1,3961,2,0,29.0,2,2,41.0,41.0,0,28,24,16,1,3,358.0,1015030001,1918.0,5.0,0.0,1.0,50316.0,10671300.0,8,108.0,7.028217329305983,10.844626967830253,358.0
1081256,1,B_doh0710_expected,10028.0,1,108.0,MN40,40.779184,-73.956999,1,1,3957,4,0,16.0,4,4,25.0,281.0,0,16,11,7,1,3,961.0,1015130063,1998.0,7.0,0.0,1.0,54739.0,13908150.0,8,28.0,7.143269365921272,10.833675564681725,961.0
1048679,0,,10028.0,1,108.0,MN32,40.776713,-73.955077,1,1,1381,5,0,21.0,5,5,79.5,88.0,0,10,8,4,1,2,1023.0,1015280045,,,,,,,,,,3.780971937029432,1023.0
1090662,0,,10128.0,1,108.0,MN32,40.782531,-73.947941,1,1,2521,6,0,16.0,6,6,77.0,88.0,0,13,2,2,1,2,577.0,1015560052,2019.0,24.0,215.0,215.0,162682.0,23612850.0,3,7.0,7.373148408280536,6.9021218343600275,577.0
